kreds,gyldige stemmer i alt,gyldige brevstemmer i alt,ugyldige stemmer i alt (1+2),1. ugyldige stemmer afgivet på afstemningsstedet (1a-1n),1a. blanke,1b. andet mærke end kryds i stedet for kryds,1c. helt eller delvist overstreget,1d. kryds i flere partifelter,1e. kryds rækker ind i flere partifelter,1f. kryds ud for ordene uden for partierne,"1g. overstreget, udvisket eller halvt kryds",1h. kryds uden for partifelterne,1i. andre grunde til tvivl om vælgerens stemmafgivning,1j. stemmeseddel ikke udleveret på afstemningsstedet,1k. andet mærke end kryds foruden kryds,1l. anført mere end tre kryds,"1m. stemmeseddel med tegning, på skrift eller klæbning","1n. afm. m. forskell. farver, iturevet mv., andet særpræg",2. ugyldige brevstemmer (2a-2l),2a. blanke,2b. kun navn på ikke opstillet person eller tillige usikker uofficiel bogstavsbetegnelse,2c. kun anført uofficiel bogstavbetegnelse på ét bogstav,2d. kun anført usikker uofficiel bogstavbetegnelse på flere bogstaver,2e. kun anført kryds,"2f. modstrid vedrørende bogstavbetegnelse, partinavn, personnavn",2g. andre grunde til tvivl om vælgers stemmeafgivning,2h. andet eller mere end én stemmeseddel i konvolutten,2i. stemmeseddel ikke tilvejebragt af ministeren,2j. konvolut med påskrift eller påklæbning,"2k. stemmeseddel med tegning, påskrift eller påklæbning","2l. udfyldt på bagsiden, iturevet mv., andet særpræg",ikke i betragtning tagne brevstemmer (3a-3g),3a. afsenderen var ikke opført på valglisten,3b. afsenderen var død inden valgdagen,3c. yderkuverten indeholdt flere end ét følgebrev og én konvolut,3d. stemmematerialet var ikke det af ministeren tilvejebragte,3e. den foreskrevne fremgangsmåde ved stemmeafgivning har ikke været fulgt,3f. brevstemmen var ikke afgivet indenfor de i loven nævnte frister,3g. vælgeren har afgivet mere end en brevstemme,for sent modtagne brevstemmer,antal vælgere
Lille Næstved Skole - Karrebæk,2111,131,21,19,17,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,2447
Grønnegades Kaserne,344,16,6,6,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,409
Ellebækskolen - Kildemark,407,15,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,490
Arena Næstved,2078,121,29,26,16,1,1,1,1,0,0,2,0,0,3,0,1,0,3,0,0,0,0,0,2,1,0,0,0,0,0,..,..,..,..,..,..,..,..,..,2532
Kobberbakkeskolen - Sct. Jørge,3108,261,19,14,11,2,0,1,0,0,0,0,0,0,0,0,0,0,5,0,1,1,0,2,0,1,0,0,0,0,0,..,..,..,..,..,..,..,..,..,3688
Ellebækskolen - Kalbyris,2475,284,41,30,21,1,0,0,0,0,4,1,0,0,1,0,2,0,11,5,0,0,1,1,2,2,0,0,0,0,0,..,..,..,..,..,..,..,..,..,3251
Lille Næstved Skole - Herlufsh,3404,314,43,39,28,5,0,3,0,0,0,0,0,0,0,0,1,2,4,2,1,1,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,4493
Herlufsholmhallen,3873,316,28,26,20,2,0,0,0,0,0,1,0,0,0,1,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,4699
Kobberbakkeskolen - Sydby,4132,300,37,33,27,0,0,4,0,0,1,0,0,0,0,0,1,0,4,1,0,1,0,0,2,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,4992
Kobberbakkeskolen - Rønnebæk,2207,137,18,17,13,1,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,2733
