,,1701397,Lyø,62
,,1701398,Svanninge,1438
,,1701399,Vester Aaby,1144
,,1701400,Espe,918
,,1701401,Hillerslev,860
,,1701402,Ringe,4903
,,1701403,Søllinge,700
,,1701404,Gislev,1288
,,1701405,Kværndrup,1403
,,1701406,Ryslinge,1523
,,1701407,Nr. Lyndelse,2391
,,1701408,Ferritslev,1243
,,1701409,Årslev,2969
,,1701410,Marstal,1883
,,1701411,Ærøskøbing,1429
,,1701412,Søby,708
,,16,SYDJYLLANDS STORKREDS,434924
,,68,1. SØNDERBORG,44878
,,1701413,Nordborg,3428
,,1701414,Havnbjerg,1605
,,1701415,Egen,2241
,,1701416,Fynshav,1557
,,1701417,Augustenborg,2416
,,1701418,Hørup,2188
,,1701419,Sydals,1534
,,1701420,Kegnæs,340
,,1701421,"Humlehøj, Sønderborg",5170
,,1701422,"Sønderskov, Sønderborg",4392
,,1701423,"Det gamle bibliotek, Sønderbor",4526
,,1701424,Dybbøl,3954
,,1701425,Vester Sottrup,2070
,,1701426,Ullerup,1125
,,1701427,Broager,2914
,,1701428,Gråsten,4877
,,1701429,Kværs,541
,,69,2. AABENRAA,34337
,,1701430,Hovslund,526
,,1701431,Hellevad,536
,,1701432,Rødekro,4250
,,1701433,Løjt,2815
,,1701434,Hjordkær,1215
,,1701435,Ravsted,529
,,1701436,Bolderslev,1288
,,1701437,Ensted,1476
,,1701438,Felsted,1327
,,1701439,Varnæs,750
,,1701440,Bylderup,1412
,,1701441,Tinglev,1918
,,1701442,Kliplev,1325
,,1701443,Kruså,2351
,,1701444,Padborg,2721
,,1701445,Aabenraa Midt,5789
,,1701446,Aabenraa Syd,2442
,,1701447,Aabenraa Nord,1667
,,70,3. TØNDER,22105
,,1701448,Bredebro,1105
,,1701449,Ballum,422
,,1701450,Visby,330
,,1701451,Højer,1037
,,1701452,Sdr. Sejerslev,328
,,1701453,Møgeltønder,742
,,1701454,Løgumkloster,1985
,,1701455,Nr. Løgum,777
,,1701456,Bedsted,453
,,1701457,Øster Højst,521
,,1701458,Agerskov,1235
,,1701459,Arrild,457
,,1701460,Branderup,328
,,1701461,Døstrup,370
,,1701462,Toftlund,2428
,,1701463,Brøns,592
,,1701464,Tønder,4784
,,1701465,Abild,660
,,1701466,Hostrup,588
,,1701467,Rømø,335
,,1701468,Skærbæk,2235
,,1701469,Vodder,393
,,71,4. ESBJERG BY,38164
,,1701470,Esbjerg Rådhus,7827
,,1701471,Skovbo,1621
,,1701472,Rørkjær,2772
,,1701473,Jerne,3493
,,1701474,Boldesager,3822
,,1701475,Østerbyen,2746
,,1701476,Gjesing,2620
,,1701477,Sædding,4536
,,1701478,Kvaglund,1999
,,1701479,Ådalen,1994
,,1701480,Grønlandsparken,2423
,,1701481,Nordby,2061
,,1701482,Sønderho,250
,,72,5. ESBJERG OMEGN,33829
,,1701483,Skads,1370
,,1701484,Bryndum,2117
,,1701485,Hjerting,4994
,,1701486,Guldager,943
,,1701487,Tjæreborg,2206
,,1701488,Sønderris,2453
,,1701489,Bramming,6489
,,1701490,Ribe,7217
,,1701491,Egebæk-Hviding,1257
,,1701492,Gredstedbro,1666
,,1701493,Mandø,21
,,1701494,Høm,930
,,1701495,Gørding,2166
,,73,6. VARDE,30444
,,1701496,Varde By,8639
,,1701497,Sig,756
,,1701498,Billum,516
,,1701499,Tinghøj,536
,,1701500,Alslev,983
,,1701501,Horne,695
,,1701502,Janderup,820
,,1701503,Lunde,763
,,1701504,Nørre Nebel,1411
,,1701505,Henne,501
,,1701506,Outrup,948
,,1701507,Oksbøl,2358
,,1701508,Blåvand,392
,,1701509,Årre,759
,,1701510,Agerbæk,1043
,,1701511,Fåborg,398
,,1701512,Næsbjerg,909
,,1701513,Starup,621
,,1701514,Nordenskov,851
,,1701515,Ølgod,3667
,,1701516,Tistrup,1269
,,1701517,Ansager,1096
,,1701518,Skovlund,513
,,74,7. VEJEN,41067
,,1701519,Billund,4025
,,1701520,Sdr. Omme,1428
,,1701521,Vorbasse,1312
,,1701522,Filskov,637
,,1701523,St./Krogager,597
,,1701524,Grindsted,6396
,,1701525,Hejnsvig,1224
,,1701526,Brørup,3372
,,1701527,Lindknud,510
,,1701528,Holsted,2100
,,1701529,Føvling,709
,,1701530,Glejbjerg,751
,,1701531,Hovborg,347
,,1701532,Rødding,2116
,,1701533,Sdr. Hygum,562
,,1701534,Jels,1596
,,1701535,Lintrup,454
,,1701536,Skodborg,1071
,,1701537,Københoved,303
,,1701538,Øster Lindet,479
,,1701539,Vejen,5339
,,1701540,Læborg,460
,,1701541,Askov-Malt,2117
,,1701542,Andst,940
,,1701543,Gesten,971
,,1701544,Bække,1251
,,75,8. VEJLE NORD,33700
,,1701545,Skibet Hallen Nord,1649
,,1701546,Give Nord,3715
,,1701547,Thyregod Nord,1469
,,1701548,Gadbjerg Nord,808
,,1701549,Givskud Nord,743
,,1701550,Grønbjerg Nord,647
,,1701551,Lindeballe Nord,333
,,1701552,Øster Nykirke Nord,1006
,,1701553,Jelling Nord,2814
,,1701554,Kollerup-Sandvad Nord,1092
,,1701555,Grejs Nord,995
,,1701556,Bredsten Nord,1424
,,1701557,Nørup Nord,1086
,,1701558,Vandel Nord,967
,,1701559,Nørremarkshallen Nord,3809
