navn,nummer,dagi_id
Oure,27,707982
Bogense,1,709482
Klinte,2,710924
Kongslund,3,707808
Horsebæk,4,710952
Krogsbølle,5,710852
Otterup,6,709540
Løkkemark,7,710946
Skovløkke,8,709418
Veflinge,9,701708
Hårslev,10,705036
Morud,11,709546
Særslev,12,710966
Søndersø,13,709534
Bagenkop,1,707504
Humble,2,704630
Lindelse,3,711786
Rudkøbing,5,704594
Strynø,6,701440
Tullebølle,7,701464
Lejbølle,8,704688
Hou,10,709020
Marstal,1,706902
Ærøskøbing,2,702246
Søby,3,700952
Gram,1,706096
Arnum,2,707626
Tiset,3,704724
Fole,4,701494
Haderslev Syd-Vest,5,704736
Haderslev Syd,6,709256
Haderslev Midtby,7,709300
Haderslev Vest,8,711866
Sommersted,9,710846
Haderslev Nord,10,711872
Haderslev Øst,11,709412
Moltrup,12,703422
Hoptrup,13,703202
Starup,14,706202
Vilstrup,15,703080
Kelstrup,16,704730
Vonsbæk,17,707620
Aastrup,18,707612
Øsby,19,710748
Aarø,20,703400
Marstrup,21,709148
Halk,22,709390
Fjelstrup,24,701506
Bevtoft,25,710758
Vojens Øst,26,711852
Vojens Vest,28,711878
Skrydstrup,29,707568
Hammelev,30,703304
Jegerup,31,711996
Simmersted,32,709142
Nustrup,33,711884
Oksenvad,34,703416
Vedsted,35,710740
Over Jerstal,36,704758
Billund,1,704500
Sdr. Omme,2,701374
Vorbasse,3,704532
Filskov,4,702968
St./Krogager,5,710594
Grindsted,6,707400
Hejnsvig,7,708930
Nordborg,1,703038
Havnbjerg,2,710634
Egen,3,701408
Fynshav,4,701428
Augustenborg,5,710642
Hørup,6,707448
Sydals,7,703032
Kegnæs,8,707466
"Humlehøj, Sønderborg",9,701434
"Sønderskov, Sønderborg",10,704588
"Kongevej, Sønderborg",11,710622
Dybbøl,12,701416
Vester Sottrup,13,706060
Ullerup,14,706040
Broager,15,706048
Gråsten,16,704566
Kværs,17,706066
Bredebro,1,712106
Ballum,2,703560
Visby,3,711072
Højer,4,706374
Sdr. Sejerslev,7,707858
Møgeltønder,8,706368
Løgumkloster,12,701834
Nr. Løgum,14,711084
Bedsted,15,703566
Øster Højst,16,709676
Agerskov,17,701806
Arrild,18,711066
Branderup,19,709622
Døstrup,21,709616
Toftlund,23,701800
Brøns,24,711078
Tønder,25,705136
Abild,27,701794
Hostrup,29,707840
Rømø,51,705128
Skærbæk,61,709602
Vodder,71,705162
Esbjerg Rådhus,2,705826
Skovbo,3,708726
Rørkjær,4,701204
Jerne,5,710374
Boldesager,6,702746
Østerbyen,7,702806
Skads,8,705174
Gjesing,11,708768
Bryndum,12,701840
Sædding,15,704330
Hjerting,16,712150
Guldager,17,709664
Tjæreborg,20,703522
Kvaglund,21,702740
Ådalen,22,710368
Grønlandsparken,23,710398
Sønderris,24,711090
Bramming,25,703542
Ribe,28,703580
Egebæk-Hviding,32,707870
Gredstedbro,33,701812
Mandø,35,703586
Høm,38,707876
Gørding,40,707864
Nordby,1,702962
Sønderho,2,710532
Varde By,1,701470
Sig,4,707512
Billum,5,709030
Tinghøj,6,709048
Alslev,7,704642
Horne,8,707556
Janderup,9,706084
Lunde,10,710668
Nørre Nebel,13,707430
Henne,14,703068
Outrup,15,710662
Oksbøl,18,707498
Blåvand,19,708972
Årre,22,709060
Agerbæk,23,704694
Fåborg,24,704654
Næsbjerg,26,707562
Starup,27,704648
Nordenskov,28,706078
Ølgod,30,710690
Tistrup,31,704624
Ansager,32,701482
Skovlund,33,709054
Brørup,1,703026
Lindknud,2,706022
Holsted,3,701368
Føvling,4,706028
Glejbjerg,5,707412
Hovborg,6,707418
Rødding,7,701350
Sdr. Hygum,8,704526
Jels,9,706016
Lintrup,10,710606
Skodborg,11,704538
Københoved,12,701380
Øster Lindet,13,710600
Vejen,14,704514
Læborg,15,703014
Askov-Malt,16,701362
Andst,17,704520
Gesten,18,703020
Bække,19,701386
Hovslund,1,705386
Hellevad,2,703772
Rødekro,3,706666
Løjt,4,701976
Hjordkær,5,705392
Ravsted,6,706648
Bolderslev,7,708364
Ensted,8,703784
Felsted,9,708358
Varnæs,10,708352
Bylderup,11,706654
Tinglev,12,711228
Kliplev,13,706660
Kruså,14,709794
Padborg,15,709832
Aabenraa Midt,16,702016
Aabenraa Syd,17,703778
Aabenraa Nord,18,700772
Gymnasiet,1,707936
Bredstrup-Pjedsted,2,709738
Erritsø,3,701876
Herslev,4,709732
Taulov,5,705216
Søndermarken,6,707944
Bøgeskov,7,711148
Indre By,8,712216
Sønderbro,1,710898
Vestbyen,2,704998
Midtbyen,3,706286
Endelave,4,706240
Forum,5,706268
Dagnæs,6,701652
Torsted,7,707750
Hatting,8,706280
Lund,9,710912
Egebjerg,10,706274
Stensballe,11,710904
Højvangen,12,709464
Brædstrup,13,701658
Nim,14,706254
Sdr.Vissing,15,706298
Østbirk,16,701646
Gedved,17,712014
Hovedgård,18,709470
Søvind,19,712020
Tønning-Træden,20,712056
Sundparken,21,703428
Sejet,22,709476
Centrum Nord,1,706610
Nordbyen,2,701938
Vestbyen,3,706604
Strandhuse/Nr. Bjert/ Eltang,4,705338
Bramdrupdam,5,706622
Alminde-Viuf/Vester Nebel,6,701932
Lunderskov/Jordrup,7,708000
Centrum Syd,8,701902
Sydbyen,9,701916
Seest,10,712320
Dalby/Tved/Rebæk,11,701908
